Variable,R2,FstatP,VarType,Sign,Drop,Field Name,Description,Values,Notes,Drop VarName
FNAME,NA,NA,Other,NA,Yes,First Name,, ,,
MNAME,9.56E-05,0.27432023,Other,Not Applicable,Yes,Middle Initial,, ,,
LNAME,NA,NA,Other,NA,Yes,Last Name,, ,,
FILLER,NA,NA,Other,NA,Yes,FILLER,,Filler,,
SUFFIX,6.24E-06,0.418338802,categorical,Not Applicable,Yes,Generational Suffix,, ,,
ADR1,NA,NA,Other,NA,Yes,Address,,,,
CITY,NA,NA,Other,NA,Yes,City,, ,,
ST,0.025436429,1.53E-201,categorical,Not Applicable,No,State,Standard USPS 2 character state abbreviation., ,,
ZIP,0.005918158,3.64E-55,numeric,Negative,Yes,ZIP Code,, ,,
P4,0.000789104,7.57E-09,numeric,Negative,Yes,ZIP Plus 4,, ,,
APTF,3.51E-05,0.118211361,categorical,Not Applicable,No,Unit Number Present Flag,A unit number is present at this address.,"Y - Yes
U - Unknown",Drop U,APTF_U
CRRT,NA,NA,categorical,NA,No,Carrier Route,,"B = PO Box
R = Rural Route
G = General Delivery
C = Standard Address
H = Highway Contract",,
FPST,0.010722509,1.71E-98,numeric,Positive,Yes,Numeric State Code,,See Numeric State Code tab,,
N2CTY,0.007481834,2.97E-69,numeric,Positive,Yes,Numeric County Code,,See Numeric County Code tab,,
N2DMA,0.012826449,1.62E-117,numeric,Negative,Yes,Designated Market Area (DMA),,See DMA Codes tab,,
CBSA,0.000120536,0.014717936,numeric,Positive,Yes,Core Based Statistical Area (CBSA),,See CBSA tab,,
N2NCY,0.007379976,2.80E-66,categorical,Not Applicable,No,Nielsen County Size,The size classification of counties according to Census household counts and metropolitan proximity.,"A = All counties in the largest metropolitan areas which together account for 40% of U.S. households according to the 2000 Census. 
B = All counties in the next largest set of metropolitan areas which together account for 30% of U.S. households according to the 2000 Census. No non-metropolitan counties qualify as A or B counties. 
C = All counties in the next largest set of areas - including both metropolitan areas and non-metropolitan counties - which account for 15% of U.S. households according to the 2000 Census. 
D = All remaining counties",,
LAT,0.002421526,1.15E-23,numeric,Positive,No,Latitude,The geometrical location north or south of the equator assigned to the address. The implied decimal is between the third and fourth position., ,,
LNG,0.008591823,2.92E-79,numeric,Negative,No,Longitude,"The geometrical location east or west of a north-south line, called the prime meridian, assigned to the address. The implied decimal is between the third and fourth position.", ,,
N2BTN,0.004467917,4.17E-42,numeric,Negative,Yes,Census Basic Tract Number,, ,,
N2TSC,0.000819648,3.90E-09,numeric,Negative,Yes,Census Basic Tract Sub Code Number,,00-99,,
N2TBG,-1.85E-05,0.62472205,numeric,Positive,Yes,Census Basic Block Group,,1-9,,
N2BC,-2.24E-05,0.775408557,numeric,Positive,Yes,Census Block Code,,0000-9999,,
C210MYS,0.008074359,1.35E-74,categorical,Positive,No,Census 2010 Education Level,An indicator derived from the highest level of education attained by individuals 25 years or older as reported by the Census Bureau.,"0 = Uncoded
1 = Less than 9th grade
2 = Less than 12th grade
3 = High School Diploma
4 = Some College
5 = Associate Degree
6 = Bachelors Degree
7 = Graduate Degree
8 = Professional School Degree
9 = Doctorate Degree",Drop 0,C210MYS_0
C210MAH,-2.39E-05,0.890086044,numeric,Positive,No,Census 2010 Median Age of Householder,Median age of householders 18 years or older reported by the Census Bureau. , 00 - 99, Drop 00,
C210PWH,1.54E-05,0.201255179,numeric,Negative,No,Census 2010 Percent White,Percentage of persons with white race reported by the Census Bureau. ,00 - 99,,
C210PHI,0.00029738,0.000277979,numeric,Negative,No,Census 2010 Percent Hispanic,Percentage of persons with Hispanic or Latino race reported by the Census Bureau. ,00 - 99 ,,
